Time,VDD_CPU_GPU_CV,VDD_SOC
3.4624000363692176e-05,1.424,1.426
0.13528198400035762,1.546,1.426
1.1362984959996538,1.019,1.388
2.1353252480002993,0.978,1.388
3.133704031999514,0.896,1.388
4.135755071999483,0.896,1.388
5.135886303999541,0.896,1.388
6.136756255999899,0.896,1.388
7.1380993599996145,0.896,1.388
8.137851200000114,0.896,1.388
9.13862025599974,0.896,1.388
10.145609215999684,1.059,1.388
11.147202176000064,1.383,1.426
12.147895840000274,1.424,1.426
13.148235104000378,1.424,1.426
14.149389535999944,1.424,1.426
15.149855136000042,1.424,1.426
16.15101257599963,1.506,1.426
17.152105919999485,1.424,1.426
18.153706719999718,1.424,1.426
19.15400428799967,1.424,1.426
20.155143680000037,1.424,1.426
21.156555647999994,1.424,1.426
22.157366368000112,1.383,1.426
23.16470966399993,1.587,1.467
24.160436672000287,1.424,1.467
25.16179459199975,1.424,1.467
26.16410313599954,1.424,1.467
27.163770240000304,1.424,1.426
28.16536470400024,1.424,1.426
29.166350303999934,1.424,1.467
30.167678271999648,1.424,1.426
31.16842435200033,1.424,1.426
32.16855036800007,1.424,1.426
33.17038758400031,1.424,1.467
34.17050876800022,1.424,1.467
35.172906912000144,1.424,1.467
36.17346032000023,1.424,1.467
37.173756096000034,1.424,1.467
38.174864927999806,1.424,1.467
39.175669279999966,1.383,1.426
40.17713808000008,1.546,1.426
41.177278655999544,1.75,1.467
42.17946156800008,1.872,1.467
43.17945385599978,1.79,1.467
44.18127840000034,1.79,1.467
45.18137772800037,1.79,1.467
46.18148751999979,1.831,1.467
47.182921120000174,1.79,1.467
48.18384460800007,1.79,1.467
49.18605459199989,1.79,1.467
50.18602895999993,1.79,1.467
51.18888892799987,1.79,1.467
52.18855526399966,1.79,1.467
53.18822931199975,1.831,1.467
54.19227059199966,1.79,1.467
55.192259327999636,1.79,1.467
56.19082502400033,1.79,1.467
57.192999615999724,1.79,1.467
58.19368374399983,1.79,1.467
59.19591388800018,1.79,1.467
60.19507497599989,1.831,1.467
61.19668121599989,1.831,1.467
62.19702297599997,1.79,1.467
63.19802556800005,1.79,1.467
64.20005052800025,1.79,1.467
65.20050646399977,1.831,1.467
66.20175235199986,1.79,1.467
67.2009019520001,1.79,1.467
68.20148281599995,1.79,1.467
69.20203289599976,1.79,1.467
70.204021216,1.79,1.467
71.20466127999953,1.79,1.467
72.20514553599969,1.79,1.467
73.20638841599975,1.79,1.467
74.2092111359998,1.79,1.467
75.21046704000037,1.831,1.467
76.20890611199957,1.79,1.467
77.21274044799975,1.79,1.467
78.21115587199984,1.79,1.467
79.21111414400002,1.872,1.467
80.21351168000001,1.79,1.467
81.21464390399979,1.831,1.467
82.21404127999995,1.831,1.467
83.21622092799953,1.79,1.467
84.21675395199964,1.79,1.467
85.21947193599954,1.79,1.467
86.2187418880003,1.79,1.467
87.21826835199954,1.79,1.467
88.21929788800026,1.79,1.467
89.22018352000032,1.79,1.467
90.22113526399971,1.79,1.467
91.22230755199962,1.79,1.467
92.22293190399978,1.79,1.467
93.22474022400002,1.79,1.467
94.22684479999953,1.79,1.467
95.22716732800018,1.79,1.467
96.22585526399962,1.79,1.467
97.22868102400025,1.79,1.467
98.23032479999983,1.831,1.467
99.22927219200028,1.79,1.467
100.23164160000033,1.79,1.467
101.23417343999972,1.79,1.467
102.23310448000029,1.79,1.467
103.23513430399998,1.79,1.467
104.23541011199995,1.79,1.467
105.23687865600004,1.831,1.467
106.23711936000018,1.831,1.467
107.2492199999997,1.831,1.467
108.2368705279996,1.019,1.388
109.2367497919995,0.896,1.388
110.23721830399973,0.896,1.388
111.23806911999964,0.896,1.388
112.23917024000002,0.896,1.388
113.24118857600024,0.896,1.388
114.24157942399961,0.896,1.388
115.24240566400022,0.896,1.388
116.24382422399958,0.896,1.388
117.24473318400032,0.896,1.388
