Time,VDD_CPU_GPU_CV,VDD_SOC
2.2368000372807728e-05,1.426,1.426
0.12504451200038602,1.587,1.426
1.120657632000075,1.019,1.388
2.1198562240001593,0.896,1.388
3.1189340800001446,0.898,1.388
4.123005600000397,0.896,1.388
5.122354336000171,0.898,1.388
6.123385632000009,0.896,1.388
7.122970944000372,0.898,1.388
8.124498464000226,0.898,1.347
9.126623392000056,0.898,1.347
10.131882432000111,1.1,1.388
11.131436448000386,1.386,1.426
12.132907552000233,1.383,1.426
13.13334979199999,1.383,1.426
14.134639776000313,1.383,1.426
15.135763712000426,1.383,1.426
16.13663916800033,1.383,1.426
17.13785273600024,1.383,1.426
18.139227488000415,1.383,1.426
19.139796639999986,1.383,1.426
20.14078147200007,1.383,1.426
21.141531360000045,1.386,1.426
22.142529535999984,1.383,1.426
23.146922048000306,1.424,1.426
24.148605152000073,1.383,1.467
25.148906272000204,1.424,1.467
26.15028243200004,1.424,1.426
27.15160790400023,1.383,1.426
28.15267097600008,1.424,1.426
29.15267196800005,1.424,1.426
30.154266912000367,1.383,1.426
31.15596499200001,1.383,1.426
32.15525232000027,1.424,1.426
33.155402208000396,1.424,1.426
34.15809811200006,1.424,1.426
35.15847334400041,1.383,1.426
36.15935888000013,1.383,1.426
37.160596288000306,1.383,1.426
38.1628896000002,1.424,1.426
39.16446902400003,1.668,1.386
40.16890723200004,2.763,1.465
41.15946896000014,2.357,1.424
42.16303792000008,1.506,1.386
43.17104784000003,2.357,1.424
44.17774982400033,2.6,1.506
45.16832758400005,1.79,1.386
46.163526144000116,1.467,1.386
47.17537187200014,3.007,1.424
48.178634848,3.286,1.463
49.16764425600013,2.962,1.465
50.18211651199999,3.124,1.463
51.19021721600029,3.002,1.506
52.17516448000015,2.921,1.506
53.172654112000146,1.546,1.386
54.17303120000042,1.424,1.386
55.17751289600028,2.718,2.032
56.17876012800025,3.715,2.471
57.181002080000326,3.755,2.511
58.17888601599998,2.153,1.872
59.17886624000039,1.019,1.429
60.17928262400028,0.896,1.388
61.18050809600027,0.896,1.388
62.181998880000265,0.898,1.388
63.184611743999994,1.019,1.388
64.18228332800027,0.898,1.388
65.18210745600027,0.898,1.388
66.18324492800002,0.898,1.388
67.18528182400041,0.898,1.388
68.18604332800032,0.898,1.388
